en,fr,de,es,it,kana,ko
New game,Nouvelle partie,Neues Spiel,Nueva partida,Nuova parte,New game,새로운 파티
,,,,,,
Palbolsky,Palbolsky,Palbolsky,Palbolsky,Palbolsky,パルボルスキ,Palbolsky
Yuri,Yuri,Yuri,Yuri,Yuri,ゆり,Yuri
,,,,,,
,,,,,,
: infos,: infos,: infos,: inform.,: infos,: infos,: infos
: search,: rechercher,: suche,: búsqueda,: search,: search,: search
: alt. list,: alt. liste,: alt. liste,: alt. list,: alt. list,: alt. list,: alt. list
: cancel,: retour,: zurück,: cancelar,: cancel,: cancel,: cancel
: habitat,: habitat,: habitate,: hábitat,: habitat,: habitat,: habitat
: forms,: formes,: formen,: formas,: forms,: forms,: forms
: cry,: cri,: ruf,: grito,: cry,: cry,: cry
: cancel,: retour,: zurück,: cancelar,: cancel,: cancel,: cancel
: infos,: infos,: infos,: infos,: infos,: infos,: infos
: sw. Pkmn,: éch. Pkmn,: tau. Pkmn,: cmb. Pkmn,: sw. Pkmn,: sw. Pkmn,: sw. Pkmn
: sw. item,: éch. objet,: tau. item,: cmb. obj.,: sw. item,: sw. item,: sw. item
: cancel,: retour,: zurück,: cancelar,: cancel,: cancel,: cancel
,,,,,,
Place,Lieu,Ort,Lugar,Place,Place,Place
SEEN:,VUS :,GESEHEN:,VISTOS:,SEEN:,SEEN:,SEEN:
OBTAINED:,PRIS :,ERHALTEN:,OBTEN.:,OBTAINED:,OBTAINED:,OBTAINED:
Erase,Effacer,Löschen,Borrar,Erase,Erase,Erase
Space,Espace,Space,Espacio,Space,Space,Space
Caps,Maj,Caps,Mayúsculas,Caps,Caps,Caps
Confirm,Valider,Confirm,Confirmar,Confirm,Confirm,Confirm
Exit,Quitter,Exit,Salir,Exit,Exit,Exit
Screen Size,Taille de l'écran,Screen Size,Tamaño de Pantalla,Screen Size,Screen Size,Screen Size
Change the game screen resolution.,Modifier la résolution de l'écran de jeu.,Change the game screen resolution.,Cambia la resolución de Pantalla.,Change the game screen resolution.,Change the game screen resolution.,Change the game screen resolution.
Volume,Volume,Volume,Volumen,Volume,Volume,Volume
Set the volume of the music and sound effects.,Modifie le volume sonore des musiques et effets sonores.,Set the volume of the music and sound effects.,Cambia el volumen del audio.,Set the volume of the music and sound effects.,Set the volume of the music and sound effects.,Set the volume of the music and sound effects.
Unknwon Zone,Zone Inconnue,Unknwon Zone,Zona Desconocida,Unknwon Zone,Unknwon Zone,Unknwon Zone
Next map,Carte suivante,Next map,Siguiente mapa,Next map,Next map,Next map
Zoom +/-,Zoom +/-,Zoom +/-,Aumentar +/-,Zoom +/-,Zoom +/-,Zoom +/-
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Trainer Memo,Mémo Dresseur,Trainer Memo,Ficha de Entrenador,Trainer Memo,Trainer Memo,Trainer Memo
Infos,Info Pokémon,Infos,Info,Infos,Infos,Infos
Skills,Aptitudes,Skills,Habilidades,Skills,Skills,Skills
Moves,Capacités Combat,Moves,Movimientos,Moves,Moves,Moves
Ability,Cap. Spé.,Ability,Habilidad,Ability,Ability,Ability
Contests,Concours,Contests,Concursos,Contests,Contests,Contests
Ribbons,Rubans,Ribbons,Cintas,Ribbons,Ribbons,Ribbons
,,,,,,
Main quests,Quêtes principales,Main quests,Misiones principales,Main quests,Main quests,Main quests
"Side quests",Quêtes secondaires,Secondary quests,Misiones secundarias,Secondary quests,Secondary quests,Secondary quests
Failed quests,Quêtes échouées,Failed quests,Misiones fallidas,Failed quests,Failed quests,Failed quests
Cancel,Retour,Cancel,Cancelar,Cancel,Cancel,Cancel
Find %{amount} %{item_name} (%{found}),Trouver %{amount} %{item_name} (%{found}),Find %{amount} %{item_name} (%{found}),Encuentra %{amount} %{item_name} (%{found}),Find %{amount} %{item_name} (%{found}),Find %{amount} %{item_name} (%{found}),Find %{amount} %{item_name} (%{found})
Speak to %{name},Parler à %{name},Speak to %{name},Hablarle a %{name},Speak to %{name},Speak to %{name},Speak to %{name}
See a %{name},Voir un %{name},See a %{name},Ver un %{name},See a %{name},See a %{name},See a %{name}
Fight %{amount} %{name} (%{found}),Battre %{amount} %{name} (%{found}),Fight %{amount} %{name} (%{found}),Pelea %{amount} %{name} (%{found}),Fight %{amount} %{name} (%{found}),Fight %{amount} %{name} (%{found}),Fight %{amount} %{name} (%{found})
Catch %{amount} %{name} (%{found}),Capturer %{amount} %{name} (%{found}),Obtain %{amount} %{name} (%{found}),Captura %{amount} %{name} (%{found}),Obtain %{amount} %{name} (%{found}),Obtain %{amount} %{name} (%{found}),Obtain %{amount} %{name} (%{found})
Beat %{name} %{amount} times (%{found}),Battre %{name} %{amount} fois (%{found}),Beat %{name} %{amount} times (%{found}),Derrota a %{name} %{amount} veces (%{found}),Beat %{name} %{amount} times (%{found}),Beat %{name} %{amount} times (%{found}),Beat %{name} %{amount} times (%{found})
Beat %{name},Battre %{name},Beat %{name},Derrota a %{name},Beat %{name},Beat %{name},Beat %{name}
Find %{amount} eggs (%{found}),Trouver %{amount}  œufs (%{found}),Find %{amount} eggs (%{found}),Encuentra %{amount} huevos (%{found}),Find %{amount} eggs (%{found}),Find %{amount} eggs (%{found}),Find %{amount} eggs (%{found})
Find an egg,Trouver un œuf,Find an egg,Encuentra un huevo,Find an egg,Find an egg,Find an egg
Hatch %{amount} eggs (%{found}),Faire éclore %{amount}  œufs (%{found}),Hatch %{amount} eggs (%{found}),Eclosiona %{amount} huevos (%{found}),Hatch %{amount} eggs (%{found}),Hatch %{amount} eggs (%{found}),Hatch %{amount} eggs (%{found})
Hatch an egg,Faire éclore un œuf,Hatch an egg,Eclosiona un huevo,Hatch an egg,Hatch an egg,Hatch an egg
" type %s"," de type %s"," type %s"," de tipo %s"," type %s"," type %s"," type %s"
" nature %s"," ayant la nature %s"," nature %s"," con la naturaleza %s"," nature %s"," nature %s"," nature %s"
" level %d"," au niveau %d"," level %d"," nivel %d"," level %d"," level %d"," level %d"
" having minimum level %d"," d'un niveau minimal de %d"," having minimum level %d"," con un nivel mínimo de %d"," having minimum level %d"," having minimum level %d"," having minimum level %d"
" to maximum level %d"," à un niveau maximal de %d"," to maximum level %d"," hasta un nivel máximo de %d"," to maximum level %d"," to maximum level %d"," to maximum level %d"
" having maximum level %d"," d'un niveau maximal de %d"," having maximum level %d"," teniendo un máximo de %d"," having maximum level %d"," having maximum level %d"," having maximum level %d"
,,,,,,
